timestamp,oxygen_saturation_by_minute
2022-06-12 10:58:13+02:00,94.8
2022-06-12 10:59:13+02:00,92.8
2022-06-12 11:00:13+02:00,50.0
2022-06-12 11:01:13+02:00,92.6
2022-06-12 11:02:13+02:00,88.0
2022-06-12 11:03:13+02:00,50.0
2022-06-12 11:04:14+02:00,50.0
2022-06-12 11:05:14+02:00,50.0
2022-06-12 11:06:14+02:00,50.0
2022-06-12 11:07:14+02:00,50.0
2022-06-12 11:08:14+02:00,50.0
2022-06-12 11:09:14+02:00,50.0
2022-06-12 11:10:15+02:00,50.0
2022-06-12 11:11:15+02:00,86.5
2022-06-12 11:12:15+02:00,50.0
2022-06-12 11:13:15+02:00,50.0
2022-06-12 11:14:15+02:00,50.0
2022-06-12 11:15:15+02:00,50.0
2022-06-12 11:16:15+02:00,50.0
2022-06-12 11:17:16+02:00,50.0
2022-06-12 11:18:16+02:00,50.0
2022-06-12 11:19:16+02:00,50.0
2022-06-12 11:20:16+02:00,50.0
2022-06-12 11:21:16+02:00,50.0
2022-06-12 11:22:16+02:00,86.1
2022-06-12 11:23:16+02:00,50.0
2022-06-12 11:24:16+02:00,50.0
2022-06-12 11:25:17+02:00,84.4
2022-06-12 11:26:17+02:00,84.5
2022-06-12 11:27:17+02:00,82.2
2022-06-12 11:28:17+02:00,83.3
2022-06-12 11:29:17+02:00,84.9
2022-06-12 11:30:17+02:00,87.1
2022-06-12 11:31:18+02:00,50.0
2022-06-12 11:32:18+02:00,50.0
2022-06-12 11:33:18+02:00,50.0
2022-06-12 11:34:18+02:00,50.0
2022-06-12 11:35:18+02:00,50.0
2022-06-13 00:29:00+02:00,50.0
2022-06-13 00:30:00+02:00,83.5
2022-06-13 00:31:00+02:00,50.0
2022-06-13 00:32:00+02:00,84.3
2022-06-13 00:33:00+02:00,87.2
2022-06-13 00:34:00+02:00,89.7
2022-06-13 00:35:00+02:00,91.1
2022-06-13 00:36:00+02:00,91.7
2022-06-13 00:37:00+02:00,91.7
2022-06-13 00:38:00+02:00,92.1
2022-06-13 00:39:00+02:00,91.9
2022-06-13 00:40:00+02:00,90.5
2022-06-13 00:41:01+02:00,90.0
2022-06-13 00:42:01+02:00,90.9
2022-06-13 00:43:01+02:00,90.6
2022-06-13 00:44:01+02:00,91.0
2022-06-13 00:45:01+02:00,50.0
2022-06-13 00:46:01+02:00,87.9
2022-06-13 00:47:01+02:00,50.0
2022-06-13 00:48:01+02:00,87.7
2022-06-13 00:49:01+02:00,86.5
2022-06-13 00:50:01+02:00,50.0
2022-06-13 00:51:02+02:00,50.0
2022-06-13 00:52:02+02:00,50.0
2022-06-13 00:53:02+02:00,50.0
2022-06-13 00:54:02+02:00,83.1
2022-06-13 00:55:02+02:00,50.0
2022-06-13 00:56:02+02:00,50.0
2022-06-13 00:57:02+02:00,50.0
2022-06-13 00:58:02+02:00,83.0
2022-06-13 00:59:03+02:00,50.0
2022-06-13 01:00:03+02:00,81.0
2022-06-13 01:01:03+02:00,81.8
2022-06-13 01:02:03+02:00,84.5
2022-06-13 01:03:03+02:00,84.0
2022-06-13 01:04:03+02:00,79.0
2022-06-13 01:05:03+02:00,50.0
2022-06-13 01:06:03+02:00,50.0
2022-06-13 01:07:04+02:00,50.0
2022-06-13 01:08:04+02:00,77.4
2022-06-13 01:09:04+02:00,77.4
2022-06-13 01:10:04+02:00,50.0
2022-06-13 01:11:04+02:00,77.2
2022-06-13 01:12:04+02:00,76.7
2022-06-13 01:13:04+02:00,77.9
2022-06-13 01:14:04+02:00,50.0
2022-06-13 01:15:04+02:00,50.0
2022-06-13 01:16:04+02:00,50.0
2022-06-13 01:17:04+02:00,50.0
2022-06-13 01:18:04+02:00,50.0
2022-06-13 01:19:05+02:00,50.0
2022-06-13 01:20:05+02:00,50.0
2022-06-13 01:21:05+02:00,76.7
2022-06-13 01:22:05+02:00,78.1
2022-06-13 01:23:05+02:00,79.9
2022-06-13 01:24:05+02:00,81.4
2022-06-13 01:25:05+02:00,82.3
2022-06-13 01:26:05+02:00,82.8
2022-06-13 01:27:05+02:00,83.6
2022-06-13 01:28:06+02:00,84.2
2022-06-13 01:29:06+02:00,86.3
2022-06-13 01:30:06+02:00,85.9
2022-06-13 01:31:06+02:00,85.5
2022-06-13 01:32:06+02:00,84.7
2022-06-13 01:33:06+02:00,84.6
2022-06-13 01:34:06+02:00,84.3
2022-06-13 01:35:06+02:00,83.8
2022-06-13 01:36:06+02:00,83.5
2022-06-13 01:37:06+02:00,83.6
2022-06-13 01:38:06+02:00,83.4
2022-06-13 01:39:06+02:00,83.8
2022-06-13 01:40:07+02:00,83.5
2022-06-13 01:41:07+02:00,83.5
2022-06-13 01:42:07+02:00,83.9
2022-06-13 01:43:07+02:00,83.4
2022-06-13 01:44:07+02:00,84.0
2022-06-13 01:45:07+02:00,84.7
2022-06-13 01:46:07+02:00,84.7
2022-06-13 01:47:08+02:00,85.4
2022-06-13 01:48:08+02:00,85.2
2022-06-13 01:49:08+02:00,85.5
2022-06-13 01:50:08+02:00,85.3
2022-06-13 01:51:08+02:00,85.6
2022-06-13 01:52:08+02:00,85.7
2022-06-13 01:53:08+02:00,86.2
2022-06-13 01:54:08+02:00,85.9
2022-06-13 01:55:08+02:00,86.2
2022-06-13 01:56:08+02:00,85.8
2022-06-13 01:57:09+02:00,85.8
2022-06-13 01:58:09+02:00,85.8
2022-06-13 01:59:09+02:00,85.8
2022-06-13 02:00:09+02:00,85.8
2022-06-13 02:00:09+02:00,85.8
2022-06-13 02:01:09+02:00,85.7
2022-06-13 02:02:09+02:00,86.2
2022-06-13 02:03:09+02:00,85.6
2022-06-13 02:04:09+02:00,85.7
2022-06-13 02:05:09+02:00,86.2
2022-06-13 02:06:09+02:00,86.4
2022-06-13 02:07:10+02:00,86.6
2022-06-13 02:08:10+02:00,86.4
2022-06-13 02:09:10+02:00,86.5
2022-06-13 02:10:10+02:00,85.5
2022-06-13 02:11:10+02:00,85.3
2022-06-13 02:12:10+02:00,85.6
2022-06-13 02:13:10+02:00,86.0
2022-06-13 02:14:11+02:00,86.5
2022-06-13 02:15:11+02:00,86.4
2022-06-13 02:16:11+02:00,86.1
2022-06-13 02:17:11+02:00,86.1
2022-06-13 02:18:11+02:00,86.2
2022-06-13 02:19:11+02:00,85.6
2022-06-13 02:20:11+02:00,85.3
2022-06-13 02:21:12+02:00,85.4
2022-06-13 02:22:12+02:00,85.3
2022-06-13 02:23:12+02:00,85.8
2022-06-13 02:24:12+02:00,85.2
2022-06-13 02:25:12+02:00,85.8
2022-06-13 02:26:12+02:00,85.7
2022-06-13 02:27:12+02:00,85.7
2022-06-13 02:28:13+02:00,85.9
2022-06-13 02:29:13+02:00,86.5
2022-06-13 02:30:13+02:00,85.6
2022-06-13 02:31:13+02:00,85.1
2022-06-13 02:32:13+02:00,85.7
2022-06-13 02:33:13+02:00,85.7
2022-06-13 02:34:14+02:00,85.0
2022-06-13 02:35:14+02:00,85.3
2022-06-13 02:36:14+02:00,85.7
2022-06-13 02:37:14+02:00,86.4
2022-06-13 02:38:14+02:00,85.9
2022-06-13 02:39:14+02:00,86.0
2022-06-13 02:40:14+02:00,86.6
2022-06-13 02:41:15+02:00,86.4
2022-06-13 02:42:15+02:00,85.8
2022-06-13 02:43:15+02:00,85.8
2022-06-13 02:44:15+02:00,85.8
2022-06-13 02:45:15+02:00,85.2
2022-06-13 02:46:15+02:00,86.1
2022-06-13 02:47:16+02:00,85.8
2022-06-13 02:48:16+02:00,85.5
2022-06-13 02:49:16+02:00,86.3
2022-06-13 02:50:16+02:00,86.4
2022-06-13 02:51:16+02:00,86.2
2022-06-13 02:52:16+02:00,86.0
2022-06-13 02:53:16+02:00,85.8
2022-06-13 02:54:17+02:00,85.9
2022-06-13 02:55:17+02:00,86.0
2022-06-13 02:56:17+02:00,86.0
2022-06-13 02:57:17+02:00,85.5
2022-06-13 02:58:17+02:00,85.3
2022-06-13 02:59:17+02:00,86.0
2022-06-13 03:00:18+02:00,86.3
2022-06-13 03:01:18+02:00,85.7
2022-06-13 03:02:18+02:00,85.4
2022-06-13 03:03:18+02:00,85.8
2022-06-13 03:04:18+02:00,85.3
2022-06-13 03:05:18+02:00,84.9
2022-06-13 03:06:18+02:00,84.8
2022-06-13 03:07:19+02:00,85.1
2022-06-13 03:08:19+02:00,85.4
2022-06-13 03:09:19+02:00,85.6
2022-06-13 03:10:19+02:00,85.6
2022-06-13 03:11:19+02:00,85.8
2022-06-13 03:12:19+02:00,86.3
2022-06-13 03:13:20+02:00,86.5
2022-06-13 03:14:20+02:00,86.1
2022-06-13 03:15:20+02:00,86.3
2022-06-13 03:16:20+02:00,86.4
2022-06-13 03:17:20+02:00,86.4
2022-06-13 03:18:20+02:00,86.0
2022-06-13 03:19:20+02:00,86.0
2022-06-13 03:20:21+02:00,50.0
2022-06-13 03:21:21+02:00,50.0
2022-06-13 03:22:21+02:00,50.0
2022-06-13 03:23:21+02:00,50.0
2022-06-13 03:24:21+02:00,50.0
2022-06-13 03:25:21+02:00,50.0
2022-06-13 03:26:21+02:00,50.0
2022-06-13 03:27:22+02:00,50.0
2022-06-13 03:28:22+02:00,50.0
2022-06-13 03:29:22+02:00,50.0
2022-06-13 03:30:22+02:00,50.0
2022-06-13 03:31:22+02:00,50.0
2022-06-13 03:32:22+02:00,50.0
2022-06-13 03:33:22+02:00,50.0
2022-06-13 03:34:23+02:00,50.0
2022-06-13 03:35:23+02:00,50.0
2022-06-13 03:36:23+02:00,50.0
2022-06-13 03:37:23+02:00,50.0
2022-06-13 03:38:23+02:00,50.0
